Accuracy,Precision,Recall,F-score
76.5,68.421,57.353,62.4
75.5,65.079,60.294,62.595
74.026,65.217,55.556,60.0
76.5,68.421,57.353,62.4
74.026,65.217,55.556,60.0
79.116,70.886,65.882,68.292
79.116,70.886,65.882,68.292
75.773,70.0,52.239,59.829
75.773,70.0,52.239,59.829
79.116,70.886,65.882,68.292
75.773,70.0,52.239,59.829
75.676,64.865,63.158,64.0
